                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.5845,                 1.2037,                 1.8346,                0.86303,                 0.7878,                 0.8652,                0.47072,                 1.7027,                 1.0799,                 1.8231,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.6034,                 1.2704,                 1.8913,                0.99847,                0.66667,                0.82515,                0.45312,                 1.6964,                 1.0991,                   1.76,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.6103,                 1.2032,                 1.8521,                0.72249,                0.75964,                0.81732,                0.45535,                 1.5687,                 1.1053,                 1.7171,               0.000416,               0.000416,               0.000416
                     82,                 1.6013,                 1.1429,                 1.8133,                0.86193,                0.78069,                 0.8396,                0.45746,                 1.5614,                 1.1342,                 1.7257,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.5859,                  1.144,                 1.8196,                0.69018,                 0.7428,                0.76388,                0.40428,                 1.7067,                 1.1736,                 1.8445,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.5776,                  1.166,                 1.8006,                0.81785,                   0.75,                0.83094,                0.43857,                 1.7829,                 1.1254,                 1.8655,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.5432,                 1.1443,                  1.822,                0.82291,                0.83333,                0.87437,                0.45384,                  1.723,                 1.0595,                 1.8351,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.5174,                 1.0982,                 1.7617,                0.99416,                0.70833,                 0.8944,                0.47268,                  1.594,                 1.0438,                 1.7401,               0.000317,               0.000317,               0.000317
                     87,                 1.5174,                 1.1308,                 1.8221,                0.88963,                0.83333,                0.91079,                0.49357,                 1.5978,                 1.0235,                 1.7288,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.4812,                   1.08,                 1.7437,                 0.8234,                0.79167,                0.87082,                0.45098,                 1.6746,                 1.0682,                 1.7903,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.5654,                 1.1511,                 1.7884,                0.89993,                   0.75,                0.82409,                0.43958,                 1.7388,                  1.143,                 1.8101,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.5236,                 1.0994,                 1.7559,                0.85938,                0.79167,                0.85773,                0.43649,                 1.6672,                  1.182,                  1.709,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.4836,                 1.1319,                  1.786,                0.79943,                  0.875,                 0.8803,                0.43628,                 1.6623,                 1.2276,                 1.7323,               0.000218,               0.000218,               0.000218
                     92,                 1.5592,                 1.1312,                 1.7883,                0.74171,                0.70833,                0.81411,                0.44644,                 1.6355,                 1.1961,                 1.7407,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.5286,                 1.1459,                  1.784,                0.77525,                   0.75,                0.85422,                0.46326,                 1.6285,                 1.1714,                 1.7697,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.5019,                 1.0995,                 1.7741,                0.89149,                0.70833,                0.87174,                 0.4763,                  1.634,                 1.1097,                 1.7657,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.4277,                 1.0471,                 1.7461,                0.83955,                   0.75,                0.87328,                0.46894,                  1.662,                 1.0913,                 1.7819,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.5274,                 1.1008,                  1.766,                0.73251,                0.79167,                0.84288,                 0.4521,                 1.6334,                 1.0951,                 1.7659,               0.000119,               0.000119,               0.000119
                     97,                 1.4949,                 1.0501,                 1.7473,                0.75106,                0.83333,                0.84634,                0.45503,                 1.6354,                 1.0949,                 1.7587,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.4221,                 1.0583,                 1.7277,                0.82428,                0.78212,                0.84843,                 0.4363,                 1.6458,                 1.0873,                 1.7632,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.4618,                 1.0534,                 1.7244,                0.77492,                0.86105,                0.87234,                 0.4558,                 1.6199,                 1.0561,                 1.7299,               5.96e-05,               5.96e-05,               5.96e-05
